ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,gassy,gassy_lower,gassy_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
-162.78333333333333,13.356282819771009,11.44444369639971,30.067997818959785,13.356282819771009,13.356282819771009,7.444259734459203,7.444259734459203,7.444259734459203,7.444259734459203,7.444259734459203,7.444259734459203,0.0,0.0,0.0,20.800542554230212,14.0
-162.76666666666668,13.48963257442241,11.06166688021735,30.7824116352427,13.48963257442241,13.48963257442241,7.429538259696436,7.429538259696436,7.429538259696436,7.429538259696436,7.429538259696436,7.429538259696436,0.0,0.0,0.0,20.919170834118844,14.0
-162.75,13.62298232907381,12.040762176768874,30.575429858863288,13.62298232907381,13.62298232907381,7.413961359509276,7.413961359509276,7.413961359509276,7.413961359509276,7.413961359509276,7.413961359509276,0.0,0.0,0.0,21.036943688583086,16.0
-162.73333333333332,13.75633208372521,11.80493195324497,30.481332468468654,13.75633208372521,13.75633208372521,7.397520452243195,7.397520452243195,7.397520452243195,7.397520452243195,7.397520452243195,7.397520452243195,0.0,0.0,0.0,21.153852535968404,15.0
-162.71666666666667,13.88968183837661,11.402239023400274,30.161551468763292,13.88968183837661,13.88968183837661,7.380207692291215,7.380207692291215,7.380207692291215,7.380207692291215,7.380207692291215,7.380207692291215,0.0,0.0,0.0,21.269889530667825,16.0
-162.7,14.023031593028012,11.445626382869595,31.236214603867552,14.023031593028012,14.023031593028012,7.362015961474695,7.362015961474695,7.362015961474695,7.362015961474695,7.362015961474695,7.362015961474695,0.0,0.0,0.0,21.385047554502705,16.0
-162.68333333333334,14.156381347679412,11.539644243554623,30.127433124724917,14.156381347679412,14.156381347679412,7.342938859237509,7.342938859237509,7.342938859237509,7.342938859237509,7.342938859237509,7.342938859237509,0.0,0.0,0.0,21.49932020691692,16.0
-162.66666666666666,14.289731102330812,12.205900038783433,30.523100692680657,14.289731102330812,14.289731102330812,7.322970691690662,7.322970691690662,7.322970691690662,7.322970691690662,7.322970691690662,7.322970691690662,0.0,0.0,0.0,21.612701794021476,16.0
-162.65,14.423080856982212,12.980933376920483,30.525781672436498,14.423080856982212,14.423080856982212,7.302106459546697,7.302106459546697,7.302106459546697,7.302106459546697,7.302106459546697,7.302106459546697,0.0,0.0,0.0,21.72518731652891,15.0
-162.63333333333333,14.556430611633612,12.09318485942546,30.388136480356774,14.556430611633612,14.556430611633612,7.280341844985202,7.280341844985202,7.280341844985202,7.280341844985202,7.280341844985202,7.280341844985202,0.0,0.0,0.0,21.836772456618814,17.0
-162.61666666666667,14.689780366285014,12.404536791108397,31.13075485689289,14.689780366285014,14.689780366285014,7.257673197492798,7.257673197492798,7.257673197492798,7.257673197492798,7.257673197492798,7.257673197492798,0.0,0.0,0.0,21.947453563777813,20.0
-162.6,14.823130120936415,13.356015190553453,32.10018766968983,14.823130120936415,14.823130120936415,7.234097518722835,7.234097518722835,7.234097518722835,7.234097518722835,7.234097518722835,7.234097518722835,0.0,0.0,0.0,22.05722763965925,19.0
-162.58333333333334,14.956479875587815,13.000175796412492,31.0890734811951,14.956479875587815,14.956479875587815,7.2096124464218265,7.2096124464218265,7.2096124464218265,7.2096124464218265,7.2096124464218265,7.2096124464218265,0.0,0.0,0.0,22.166092322009643,18.0
-162.56666666666666,15.089829630239214,12.83651471428436,31.18326234759624,15.089829630239214,15.089829630239214,7.184216237471277,7.184216237471277,7.184216237471277,7.184216237471277,7.184216237471277,7.184216237471277,0.0,0.0,0.0,22.27404586771049,18.0
