ds,y
65404800,36
65491200,19
65577600,26
65664000,20
65750400,26
65836800,28
65923200,19
66009600,25
66096000,22
66182400,22
66268800,22
66355200,23
66441600,22
66528000,20
66614400,22
66700800,21
66787200,21
66873600,20
66960000,23
67046400,19
67132800,18
67219200,22
67305600,22
67392000,23
67478400,21
67564800,18
67651200,19
67737600,17
67824000,18
67910400,18
67996800,19
68083200,19
68169600,18
68256000,19
68342400,20
68428800,20
68515200,18
68601600,20
68688000,19
68774400,20
68860800,20
68947200,20
69033600,19
69120000,18
69206400,20
69292800,21
69379200,21
69465600,22
69552000,20
69638400,21
69724800,22
69811200,22
69897600,20
69984000,20
70070400,20
70156800,21
70243200,23
70329600,22
70416000,20
70502400,23
70588800,22
70675200,24
70761600,21
70848000,23
70934400,21
71020800,23
71107200,21
71193600,24
71280000,22
71366400,20
71452800,21
71539200,21
71625600,24
71712000,22
71798400,23
71884800,23
71971200,23
72057600,22
72144000,25
72230400,25
72316800,25
72403200,22
72489600,25
72576000,24
72662400,25
72748800,25
72835200,25
72921600,44
73008000,45
73094400,45
73180800,42
73267200,44
73353600,43
73440000,45
73526400,44
73612800,43
73699200,42
73785600,25
73872000,28
73958400,29
74044800,26
74131200,25
74217600,27
74304000,25
74390400,25
74476800,27
74563200,26
74649600,34
74736000,43
74822400,45
74908800,44
74995200,26
75081600,27
75168000,26
75254400,27
75340800,52
75427200,46
75513600,48
75600000,46
75686400,47
75772800,48
75859200,49
75945600,61
76032000,57
76118400,50
76204800,50
76291200,49
76377600,49
76464000,49
76550400,52
76636800,69
76723200,64
76809600,65
76896000,54
76982400,63
77068800,56
77155200,58
77241600,85
77328000,56
77414400,15
77500800,15
77587200,14
77673600,15
77760000,15
77846400,15
77932800,14
78019200,15
78105600,16
78192000,15
78278400,17
78364800,16
78451200,16
78537600,15
78624000,14
78710400,15
78796800,16
78883200,16
78969600,16
79056000,15
79142400,15
79228800,15
79315200,14
79401600,14
79488000,14
79574400,15
79660800,14
79747200,13
79833600,15
79920000,16
80006400,16
80092800,18
80179200,18
80265600,17
80352000,17
80438400,17
80524800,17
80611200,17
80697600,17
80784000,16
80870400,17
80956800,17
81043200,16
81129600,16
81216000,16
81302400,16
81388800,17
81475200,16
81561600,17
81648000,16
81734400,16
81820800,16
81907200,17
81993600,16
82080000,17
82166400,16
82252800,16
82339200,16
82425600,17
82512000,16
82598400,17
82684800,16
82771200,18
82857600,18
82944000,18
83030400,17
83116800,18
83203200,18
83289600,17
83376000,17
83462400,18
83548800,16
83635200,18
83721600,17
83808000,17
83894400,17
83980800,16
84067200,17
84153600,17
84240000,18
84326400,17
84412800,31
84499200,33
84585600,34
84672000,26
84758400,39
84844800,32
84931200,40
85017600,39
85104000,27
85190400,35
85276800,37
85363200,37
85449600,21
85536000,35
85622400,32
85708800,31
85795200,25
85881600,34
85968000,40
86054400,35
86140800,37
86227200,39
86313600,40
86400000,31
86486400,37
86572800,34
86659200,37
86745600,26
86832000,38
86918400,34
87004800,26
87091200,35
87177600,35
87264000,37
87350400,21
87436800,37
87523200,38
87609600,32
87696000,36
87782400,32
87868800,34
87955200,28
88041600,19
88128000,39
88214400,19
88300800,24
88387200,38
88473600,32
88560000,18
88646400,30
88732800,36
88819200,32
88905600,37
88992000,32
89078400,30
89164800,34
89251200,42
89337600,31
89424000,26
89510400,18
89596800,23
89683200,27
89769600,20
89856000,30
89942400,27
90028800,20
90115200,21
90201600,19
90288000,30
90374400,31
90460800,33
90547200,21
90633600,20
90720000,20
90806400,33
90892800,32
90979200,24
91065600,20
91152000,30
91238400,39
91324800,18
91411200,20
91497600,40
91584000,27
91670400,17
91756800,35
91843200,40
91929600,29
92016000,24
92102400,26
92188800,44
92275200,43
92361600,24
92448000,18
92534400,19
92620800,21
92707200,29
92793600,23
92880000,25
92966400,26
93052800,26
93139200,22
93225600,21
93312000,19
93398400,22
93484800,20
93571200,18
93657600,19
93744000,20
93830400,17
93916800,21
94003200,20
94089600,19
94176000,22
94262400,18
94348800,22
94435200,18
94521600,21
94608000,22
94694400,21
94780800,20
94867200,19
94953600,18
95040000,20
95126400,18
95212800,18
95299200,18
95385600,18
95472000,19
95558400,18
95644800,18
95731200,19
95817600,18
95904000,20
95990400,19
96076800,18
96163200,20
96249600,18
96336000,20
96422400,20
96508800,18
96595200,19
96681600,20
96768000,19
96854400,19
96940800,20
97027200,21
97113600,22
97200000,20
97286400,25
97372800,23
97459200,23
97545600,23
97632000,23
97718400,20
97804800,24
97891200,23
97977600,24
98064000,20
98150400,24
98236800,21
98323200,23
98409600,23
98496000,24
98582400,24
98668800,22
98755200,22
98841600,22
98928000,23
99014400,23
99100800,22
99187200,23
99273600,22
99360000,24
99446400,20
99532800,22
99619200,25
99705600,20
99792000,19
99878400,20
99964800,21
100051200,24
100137600,25
100224000,25
100310400,48
100396800,45
100483200,51
100569600,41
100656000,27
100742400,44
100828800,43
100915200,40
101001600,46
101088000,42
101174400,41
101260800,42
101347200,25
101433600,27
101520000,30
101606400,27
101692800,26
101779200,31
101865600,25
101952000,25
102038400,28
102124800,25
102211200,45
102297600,41
102384000,44
102470400,30
102556800,28
102643200,25
102729600,48
102816000,45
102902400,48
102988800,47
103075200,55
103161600,48
103248000,69
103334400,56
103420800,50
103507200,51
103593600,49
103680000,50
103766400,51
103852800,52
103939200,68
104025600,58
104112000,73
104198400,58
104284800,63
104371200,59
104457600,55
104544000,59
104630400,58
104716800,15
104803200,16
104889600,14
104976000,15
105062400,14
105148800,14
105235200,15
105321600,15
105408000,15
105494400,14
105580800,15
105667200,15
105753600,15
105840000,15
105926400,15
106012800,15
106099200,15
106185600,15
106272000,15
106358400,15
106444800,18
106531200,15
106617600,15
106704000,15
106790400,14
106876800,16
106963200,15
107049600,14
107136000,16
107222400,15
107308800,16
107395200,16
107481600,15
107568000,13
107654400,14
107740800,14
107827200,16
107913600,15
108000000,14
108086400,16
108172800,16
108259200,18
108345600,17
108432000,16
108518400,18
108604800,16
108691200,17
108777600,16
108864000,17
108950400,16
109036800,16
109123200,18
109209600,17
109296000,17
109382400,19
109468800,16
109555200,17
109641600,16
109728000,15
109814400,16
109900800,15
109987200,16
110073600,16
110160000,16
110246400,17
110332800,16
110419200,16
110505600,16
110592000,16
110678400,16
110764800,14
110851200,16
110937600,16
111024000,16
111110400,16
111196800,17
111283200,18
111369600,18
111456000,17
111542400,17
111628800,17
111715200,18
111801600,18
111888000,18
111974400,18
112060800,18
112147200,17
112233600,17
112320000,18
112406400,37
112492800,35
112579200,38
112665600,23
112752000,33
112838400,31
112924800,38
113011200,38
113097600,37
113184000,38
113270400,40
113356800,37
113443200,39
113529600,33
113616000,31
113702400,34
113788800,29
113875200,25
113961600,42
114048000,37
114134400,32
114220800,37
114307200,42
114393600,38
114480000,20
114566400,19
114652800,38
114739200,29
114825600,37
114912000,39
114998400,33
115084800,30
115171200,36
115257600,34
115344000,18
115430400,19
115516800,38
115603200,19
115689600,32
115776000,29
115862400,21
115948800,32
116035200,30
116121600,22
116208000,39
116294400,19
116380800,31
116467200,27
116553600,26
116640000,40
116726400,39
116812800,26
116899200,28
116985600,26
117072000,28
117158400,21
117244800,32
117331200,30
117417600,25
117504000,27
117590400,30
117676800,34
117763200,34
117849600,27
117936000,21
118022400,31
118108800,31
118195200,37
118281600,33
118368000,28
118454400,18
118540800,22
118627200,34
118713600,26
118800000,27
118886400,30
118972800,19
119059200,35
119145600,25
119232000,28
119318400,19
119404800,23
119491200,20
119577600,20
119664000,28
119750400,30
119836800,26
119923200,29
120009600,26
120096000,24
120182400,26
120268800,25
120355200,26
120441600,27
120528000,24
120614400,20
120700800,25
120787200,32
120873600,32
120960000,19
121046400,24
121132800,24
121219200,18
121305600,23
121392000,21
121478400,22
121564800,21
121651200,21
121737600,21
121824000,19
121910400,21
121996800,22
122083200,17
122169600,18
122256000,19
122342400,18
122428800,18
122515200,19
122601600,18
122688000,18
122774400,18
122860800,18
122947200,19
123033600,18
123120000,18
123206400,20
123292800,20
123379200,19
123465600,19
123552000,18
123638400,19
123724800,19
123811200,20
123897600,23
123984000,21
124070400,21
124156800,22
124243200,22
124329600,19
124416000,20
124502400,22
124588800,23
124675200,24
124761600,22
124848000,21
124934400,23
125020800,21
125107200,24
125193600,23
125280000,23
125366400,23
125452800,21
125539200,24
125625600,24
125712000,23
125798400,24
125884800,19
125971200,24
126057600,23
126144000,20
126230400,19
126316800,24
126403200,43
126489600,41
126576000,41
126662400,42
126748800,45
126835200,43
126921600,40
127008000,42
127094400,28
127180800,43
127267200,26
127353600,30
127440000,28
127526400,27
127612800,29
127699200,29
127785600,27
127872000,30
127958400,45
128044800,30
128131200,28
128217600,45
128304000,40
128390400,27
128476800,26
128563200,25
128649600,26
128736000,27
128822400,30
128908800,28
128995200,31
129081600,26
129168000,25
129254400,46
129340800,46
129427200,47
129513600,47
129600000,48
129686400,67
129772800,51
129859200,50
129945600,49
130032000,49
130118400,48
130204800,49
130291200,53
130377600,55
130464000,73
130550400,54
130636800,61
130723200,60
130809600,60
130896000,62
130982400,67
131068800,56
131155200,54
131241600,88
131328000,15
131414400,15
131500800,14
131587200,15
131673600,16
131760000,14
131846400,15
131932800,15
132019200,15
132105600,15
132192000,15
132278400,16
132364800,14
132451200,15
132537600,16
132624000,15
132710400,15
132796800,15
132883200,16
132969600,14
133056000,15
133142400,15
133228800,14
133315200,13
133401600,15
133488000,15
133574400,14
133660800,14
133747200,15
133833600,14
133920000,15
134006400,15
134092800,16
134179200,14
134265600,13
134352000,15
134438400,15
134524800,15
134611200,17
134697600,15
134784000,13
134870400,15
134956800,16
135043200,16
135129600,14
135216000,16
135302400,18
135388800,15
135475200,17
135561600,17
135648000,17
135734400,15
135820800,17
135907200,16
135993600,17
136080000,17
136166400,16
136252800,16
136339200,16
136425600,15
136512000,16
136598400,16
136684800,17
136771200,16
136857600,16
136944000,18
137030400,16
137116800,18
137203200,16
137289600,17
137376000,17
137462400,17
137548800,17
137635200,18
137721600,16
137808000,17
137894400,18
137980800,17
138067200,17
138153600,17
138240000,17
138326400,17
138412800,18
138499200,36
138585600,41
138672000,33
138758400,38
138844800,30
138931200,38
139017600,31
139104000,39
139190400,39
139276800,39
139363200,21
139449600,31
139536000,38
139622400,37
139708800,40
139795200,38
139881600,33
139968000,37
140054400,38
140140800,37
140227200,32
140313600,28
140400000,30
140486400,23
140572800,29
140659200,38
140745600,33
140832000,39
140918400,32
141004800,24
141091200,37
141177600,19
141264000,30
141350400,36
141436800,20
141523200,30
141609600,33
141696000,37
141782400,24
141868800,35
141955200,30
142041600,27
142128000,25
142214400,21
142300800,23
142387200,21
142473600,32
142560000,19
142646400,40
142732800,25
142819200,22
142905600,40
142992000,34
143078400,23
143164800,37
143251200,27
143337600,32
143424000,34
143510400,32
143596800,40
143683200,35
143769600,29
143856000,24
143942400,32
144028800,38
144115200,24
144201600,26
144288000,35
144374400,28
144460800,20
144547200,34
144633600,36
144720000,20
144806400,26
144892800,30
144979200,25
145065600,18
145152000,33
145238400,23
145324800,19
145411200,26
145497600,24
145584000,29
145670400,32
145756800,26
145843200,31
145929600,23
146016000,33
146102400,24
146188800,24
146275200,41
146361600,22
146448000,20
146534400,19
146620800,19
146707200,22
146793600,18
146880000,18
146966400,19
147052800,23
147139200,20
147225600,20
147312000,22
147398400,22
147484800,20
147571200,22
147657600,22
147744000,17
147830400,18
147916800,17
148003200,19
148089600,18
148176000,18
148262400,18
148348800,18
148435200,18
148521600,19
148608000,19
148694400,19
148780800,19
148867200,18
148953600,19
149040000,20
149126400,19
149212800,20
149299200,19
149385600,19
149472000,18
149558400,19
149644800,19
149731200,21
149817600,20
149904000,19
149990400,19
150076800,19
150163200,22
150249600,20
150336000,22
150422400,21
150508800,21
150595200,21
150681600,21
150768000,19
150854400,22
150940800,23
151027200,23
151113600,23
151200000,24
151286400,24
151372800,23
151459200,22
151545600,23
151632000,26
151718400,24
151804800,24
151891200,25
151977600,24
152064000,20
152150400,24
152236800,23
152323200,21
152409600,23
152496000,24
152582400,22
152668800,24
152755200,23
152841600,23
152928000,23
153014400,23
153100800,22
153187200,21
153273600,22
153360000,23
153446400,20
153532800,21
153619200,42
153705600,44
153792000,27
153878400,42
153964800,45
154051200,42
154137600,43
154224000,41
154310400,46
154396800,43
154483200,44
154569600,25
154656000,25
154742400,29
154828800,26
154915200,25
155001600,27
155088000,27
155174400,45
155260800,40
155347200,41
155433600,40
155520000,43
155606400,31
155692800,45
155779200,45
155865600,28
155952000,34
156038400,26
156124800,26
156211200,45
156297600,45
156384000,47
156470400,47
156556800,48
156643200,47
156729600,45
156816000,47
156902400,48
156988800,61
157075200,50
157161600,49
157248000,50
157334400,51
157420800,55
157507200,60
157593600,59
157680000,55
157766400,60
157852800,62
157939200,57
158025600,57
158112000,14
158198400,15
158284800,14
158371200,15
158457600,16
158544000,15
158630400,15
158716800,15
158803200,14
158889600,15
158976000,14
159062400,15
159148800,15
159235200,14
159321600,17
159408000,14
159494400,14
159580800,15
159667200,15
159753600,14
159840000,14
159926400,16
160012800,14
160099200,14
160185600,16
160272000,16
160358400,15
160444800,16
160531200,15
160617600,14
160704000,16
160790400,13
160876800,14
160963200,14
161049600,15
161136000,15
161222400,14
161308800,15
161395200,16
161481600,14
161568000,16
161654400,14
161740800,15
161827200,14
161913600,16
162000000,17
162086400,17
162172800,17
162259200,17
162345600,17
162432000,17
162518400,17
162604800,16
162691200,16
162777600,15
162864000,18
162950400,17
163036800,18
163123200,17
163209600,17
163296000,17
163382400,17
163468800,17
163555200,17
163641600,17
163728000,17
163814400,17
163900800,19
163987200,17
164073600,16
164160000,17
164246400,16
164332800,16
164419200,16
164505600,16
164592000,17
164678400,16
164764800,16
164851200,16
164937600,16
165024000,17
165110400,17
165196800,16
165283200,17
165369600,17
165456000,17
165542400,17
165628800,17
165715200,18
165801600,17
165888000,17
165974400,17
166060800,17
166147200,18
166233600,18
166320000,16
166406400,17
166492800,18
166579200,17
166665600,16
166752000,17
166838400,17
166924800,17
167011200,17
167097600,17
167184000,38
167270400,36
167356800,37
167443200,37
167529600,38
167616000,38
167702400,36
167788800,38
167875200,37
167961600,34
168048000,28
168134400,28
168220800,39
168307200,38
168393600,26
168480000,28
168566400,28
168652800,37
168739200,30
168825600,38
168912000,34
168998400,34
169084800,30
169171200,38
169257600,33
169344000,26
169430400,36
169516800,20
169603200,32
169689600,35
169776000,22
169862400,33
169948800,27
170035200,30
170121600,23
170208000,31
170294400,31
170380800,35
170467200,24
170553600,34
170640000,23
170726400,31
170812800,38
170899200,36
170985600,32
171072000,22
171158400,32
171244800,36
171331200,35
171417600,31
171504000,36
171590400,29
171676800,25
171763200,34
171849600,35
171936000,36
172022400,30
172108800,32
172195200,41
172281600,26
172368000,30
172454400,33
172540800,27
172627200,19
172713600,28
172800000,23
172886400,26
172972800,20
173059200,20
173145600,18
173232000,40
173318400,24
173404800,27
173491200,25
173577600,18
173664000,26
173750400,20
173836800,41
173923200,18
174009600,19
174096000,22
174182400,25
174268800,19
174355200,24
174441600,18
174528000,17
174614400,19
174700800,19
174787200,21
174873600,22
174960000,21
175046400,21
175132800,20
175219200,22
175305600,20
175392000,20
175478400,20
175564800,18
175651200,19
175737600,18
175824000,18
175910400,18
175996800,17
176083200,19
176169600,18
176256000,18
176342400,19
176428800,19
176515200,20
176601600,19
176688000,19
176774400,19
176860800,19
176947200,19
177033600,19
177120000,19
177206400,19
177292800,19
177379200,19
177465600,20
177552000,19
177638400,19
177724800,19
177811200,20
177897600,20
177984000,22
178070400,21
178156800,22
178243200,20
178329600,21
178416000,21
178502400,21
178588800,23
178675200,20
178761600,21
178848000,21
178934400,22
179020800,21
179107200,25
179193600,22
179280000,21
179366400,24
179452800,23
179539200,20
179625600,24
179712000,21
179798400,21
179884800,23
179971200,23
180057600,23
180144000,21
180230400,21
180316800,23
180403200,21
180489600,23
180576000,22
180662400,22
180748800,23
180835200,26
180921600,23
181008000,25
181094400,22
181180800,22
181267200,19
181353600,24
181440000,21
181526400,27
181612800,23
181699200,24
181785600,25
181872000,24
181958400,24
182044800,41
182131200,44
182217600,42
182304000,31
182390400,41
182476800,42
182563200,29
182649600,42
182736000,42
182822400,41
182908800,41
182995200,42
183081600,42
183168000,42
183254400,46
183340800,40
183427200,44
183513600,27
183600000,27
183686400,26
183772800,30
183859200,25
183945600,26
184032000,26
184118400,46
184204800,51
184291200,45
184377600,46
184464000,46
184550400,49
184636800,45
184723200,47
184809600,50
184896000,62
184982400,53
185068800,50
185155200,50
185241600,53
185328000,49
185414400,50
185500800,52
185587200,61
185673600,62
185760000,63
185846400,59
185932800,64
186019200,75
186105600,63
186192000,55
186278400,65
186364800,54
186451200,15
186537600,15
186624000,15
186710400,16
186796800,15
186883200,14
186969600,14
187056000,15
187142400,15
187228800,16
187315200,15
187401600,14
187488000,15
187574400,14
187660800,12
187747200,15
187833600,15
187920000,15
188006400,15
188092800,16
188179200,15
188265600,15
188352000,14
188438400,14
188524800,14
188611200,15
188697600,14
188784000,15
188870400,15
188956800,15
189043200,14
189129600,14
189216000,13
189302400,15
189388800,16
189475200,14
189561600,15
189648000,16
189734400,14
189820800,16
189907200,16
189993600,14
190080000,17
190166400,17
190252800,16
190339200,17
190425600,16
190512000,17
190598400,16
190684800,16
190771200,16
190857600,17
190944000,16
191030400,16
191116800,18
191203200,16
191289600,18
191376000,18
191462400,16
191548800,15
191635200,19
191721600,17
191808000,17
191894400,16
191980800,16
192067200,18
192153600,16
192240000,16
192326400,16
192412800,16
192499200,16
192585600,17
192672000,17
192758400,17
192844800,18
192931200,18
193017600,17
193104000,16
193190400,18
193276800,18
193363200,16
193449600,17
193536000,17
193622400,17
193708800,17
193795200,19
193881600,17
193968000,16
194054400,18
194140800,18
194227200,18
194313600,17
194400000,18
194486400,17
194572800,18
194659200,18
194745600,35
194832000,35
194918400,21
195004800,37
195091200,27
195177600,24
195264000,37
195350400,24
195436800,32
195523200,32
195609600,41
195696000,38
195782400,34
195868800,38
195955200,39
196041600,38
196128000,36
196214400,36
